epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.4733793108790763,1.5244137054922953,0.12960560419313388,0.13223085449820451,0.5945145665292852
2,1.315288602643843,1.4447192338160697,0.16293244474811758,0.1560301199180409,0.5025294901253945
3,1.2412181059312302,1.3714272767133107,0.18920614343210052,0.1706632628450042,0.6430463424814017
4,1.1989251693891376,1.3394773885693854,0.2044882714105719,0.17291229194474347,0.5115887132207928
5,1.1686735923114087,1.363396298988706,0.21405226208810216,0.17215114263003262,0.68782345047168
6,1.1454736560258882,1.3056119748622697,0.22165413627265987,0.18882471525021188,0.568238992100408
7,1.1252230417425808,1.3644917217982298,0.22858753517361433,0.16781584752649917,0.6188246427488542
8,1.1092988940214203,1.3224018101747326,0.23348852472279527,0.175233834145496,0.5132185827275271
9,1.0648152401986601,1.2859415757518282,0.2449151830122999,0.17968368094280918,0.6756258254182265
