epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.1956141981077784,0.836045789718628,0.1455536603581976,0.27227464142159563,2.6086746082361523e-06
2,0.7056097285247144,0.558551624417305,0.3287518501030835,0.3763567235986162,4.7226619442419835e-06
3,0.5551644298765395,0.4984346151351929,0.4125366199258702,0.4135208609712562,4.850782388848396e-06
4,0.4939233852021488,0.46118791997432707,0.45563363855491035,0.4266462504799324,3.811583227040816e-06
5,0.46679693313292514,0.4610261857509613,0.47220015210845695,0.4177917118542186,3.4485753006559763e-06
6,0.4276802596854575,0.430219566822052,0.4971163783980323,0.44620149230637624,4.477097758746356e-06
7,0.3985068768630793,0.4204903692007065,0.5135901951401093,0.45381920551128746,4.156796647230321e-06
8,0.3766967321251645,0.39889542758464813,0.5318655116052643,0.46989836804727786,4.562511388483964e-06
9,0.35427969234225193,0.4205121353268623,0.5412478132984212,0.4410152579005988,3.5233122266763845e-06
10,0.3507596434634409,0.4034257337450981,0.5571502971126615,0.44788313315642164,3.288424744897959e-06
11,0.3292956170108583,0.4082165002822876,0.5570959822583462,0.47088762903939463,3.9966460914723035e-06
12,0.3166188305174863,0.3851968586444855,0.5682067919695297,0.46956739192938457,4.573188092201167e-06
13,0.3047081723257347,0.37292996048927307,0.5748334348919261,0.4806086763068711,4.131884338556851e-06
14,0.29558370510737103,0.38310208469629287,0.6000173275307709,0.48802226492323336,3.719051794825073e-06
15,0.2934428906919044,0.38196432292461396,0.5886483256530866,0.4767203329433694,3.78311201712828e-06
16,0.28253136207292107,0.36986769288778304,0.6043036950273527,0.48927125765742285,3.982410486516035e-06
17,0.2690454305690012,0.3712396711111069,0.6129221679250978,0.4953410703131911,3.5019588192419824e-06
18,0.26806116885977027,0.3703468143939972,0.6204691710893686,0.4906946192070737,3.313337053571429e-06
19,0.25755187611521024,0.36431994289159775,0.6196078896163166,0.49512941774642966,3.971733782798834e-06
20,0.2545319011917821,0.3992974147200584,0.6231025391879066,0.4790701914725367,3.72261069606414e-06
21,0.251845951433535,0.37179878652095794,0.6260759068163713,0.4989330280670153,4.160355548469388e-06
22,0.23788085119959748,0.38388905078172686,0.6412330079906523,0.5010670380275826,4.124766536078718e-06
23,0.23355970439719564,0.38465585708618166,0.6359025245304181,0.49891711427046487,3.341808263483965e-06
24,0.22550276446121711,0.3793006703257561,0.6593305417923192,0.5003239679574136,4.2386513757288635e-06
25,0.2229409298779052,0.3831514909863472,0.6500492979392469,0.506094433432875,3.4129862882653064e-06
26,0.22060257187228144,0.37803776413202284,0.658290071793975,0.5173493268416318,3.017948250728863e-06
27,0.2181519901862851,0.3875968009233475,0.6575823730943278,0.5090976882144529,4.092736424927114e-06
28,0.21375659034575945,0.389433978497982,0.6505732999237731,0.5204664154509815,3.594490251457725e-06
29,0.21004851659138998,0.36582463383674624,0.6622354897239895,0.5302184304003316,4.708426339285715e-06
30,0.20648570165590005,0.401547971367836,0.6617385885841872,0.5133945134451181,4.761809857871721e-06
