epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.341897888291278,1.0794444371510103,0.29616438771174564,0.38189708989641563,0.6314272990288052
2,0.8074772548364104,0.8878408811168175,0.42502641726569396,0.42876323617109285,0.6394837847078858
3,0.6440785902063687,0.9066457467961173,0.4746035926785881,0.4236459655426504,0.6212227272140786
4,0.560957559556779,0.8124146834101981,0.4999762848016173,0.44786225671963537,0.5889844366327639
5,0.49437224131555063,0.8991354583746436,0.5196502382712243,0.4479475693659173,0.5676503937354388
6,0.4509870188842112,0.8214209732120437,0.5312402884751417,0.4502119144954883,0.6436297147336173
7,0.40061840464316784,0.818632237755322,0.5505223656605129,0.45370572909281515,0.6122802031646299
8,0.38037923321036693,0.8187796500721419,0.5579370939591103,0.45234583579609433,0.6103535111321441
9,0.3550566903508758,0.8361769897357232,0.5688078527953082,0.45308330185636636,0.6310658551263711
10,0.3442198047105142,0.8464725608770558,0.572370192462906,0.45221577804572044,0.644987842793367
