epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.3260924875000377,1.149893546104431,0.1102586872388511,0.12581974053769396,4.0179994989067056e-06
2,1.1095332878607291,1.0022515118122102,0.17390574096874947,0.20934985674855322,2.348874817784256e-06
3,1.060522594569642,0.9568847179412842,0.19314059452381213,0.20531827338636197,4.886371401239067e-06
4,1.0410687268516163,0.9742680668830872,0.1927752793892528,0.20096326146090018,5.5839160440962104e-06
5,0.9950435426500108,0.9060671746730804,0.21448200304820889,0.22426027557167924,8.44883154154519e-06
6,0.9894931110334985,0.9066011309623718,0.21831942115772293,0.22974370184331003,7.44522139212828e-06
7,0.9735699892044067,0.877580052614212,0.23235417188409857,0.24486457761039254,4.5909825983965016e-06
8,0.9402222773175181,0.9313872575759887,0.2405008779290412,0.21487607783485765,6.46652355138484e-06
9,0.9099291173028358,0.8661840856075287,0.25160721694939103,0.26594021008132385,7.761963602405248e-06
10,0.9083789322111342,0.8754884243011475,0.2557581676809417,0.2535914709172508,5.961159575437317e-06
11,0.8977457542478302,0.8187826156616211,0.2529604740679636,0.26021829283854736,7.228128416545189e-06
12,0.8710856702592638,0.8201430976390839,0.2684302662750616,0.26439769074232833,7.146273688046646e-06
13,0.851881397727095,0.8012310206890106,0.27669138668017773,0.2817191209971342,6.406022230320701e-06
14,0.8171732466161987,0.7996709048748016,0.2925111744826676,0.29659021594478063,7.124920280612245e-06
15,0.8081042987328989,0.7672965943813324,0.2868565708606368,0.28563675445722414,6.694293230685132e-06
16,0.7974247535069784,0.7548623323440552,0.3007696527977854,0.28662865724460007,8.08582361516035e-06
17,0.7976304458247291,0.7860732555389405,0.30169918335071677,0.2709226479286104,6.5519371811224505e-06
18,0.790127475320557,0.812630546092987,0.3034951898279129,0.2809007222131594,6.615997403425658e-06
19,0.7466932641871181,0.7418651759624482,0.3115275858617619,0.31318675606116353,7.73349239249271e-06
20,0.7502095986295629,0.7135521173477173,0.3195679375802489,0.3100507124510027,7.046624453352769e-06
21,0.740749290327967,0.7234726548194885,0.3275993151570674,0.29823996810008324,7.349131058673469e-06
22,0.7356913851367103,0.7009808659553528,0.3250748189105551,0.32379924803740406,6.840208181486879e-06
23,0.7164141108960281,0.7066668629646301,0.33584361381928796,0.3257349426728585,7.064418959548105e-06
24,0.7054416533605552,0.6871745377779007,0.33608174941504854,0.3266702456844369,6.993240934766764e-06
25,0.6942798716050608,0.6731505423784256,0.3435997317284846,0.34753718591496663,6.687175428206998e-06
26,0.6810749184202265,0.6797354817390442,0.3377949948782681,0.3342214053657478,7.801111516034985e-06
27,0.6829099162125293,0.6714617848396301,0.3464062681536839,0.3207541949810036,6.359756514212828e-06
28,0.6823364463117387,0.7016342014074326,0.33977994748386137,0.34653773635872526,7.78331700983965e-06
29,0.6912579153790886,0.6873763144016266,0.3430238805938701,0.3128114286230223,6.648027514577259e-06
30,0.654537065161599,0.6788363456726074,0.3563277312370844,0.3276671177488339,6.1248690324344024e-06
