epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.6691074585220136,1.68413939289964,0.12158576421518083,0.1335282485833804,0.5452229942509876
2,1.4593447767646488,1.5913935258898433,0.13459488887426113,0.13571384013857202,0.6126489266452605
3,1.386153511060388,1.4960698523273357,0.1385249253766355,0.14202932448492828,0.4713402153898054
4,1.3336982630986172,1.5687198053894704,0.14347308963952526,0.12183047657970748,0.49445288307700247
5,1.3064630838204143,1.5075705797686054,0.14680376517646587,0.13807835896857318,0.5157518563558012
6,1.267979906281011,1.4939395245789104,0.15346241891930573,0.12623411945943835,0.5859792052207441
