epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.378709846401807,1.0592028558254243,0.15513500451308304,0.16470645004445628,0.00015161275168549564
2,1.099527464890332,1.0209983229637145,0.18364068584636123,0.17209301617500514,0.0002374605673742712
3,1.0542576846128666,0.971171423792839,0.18925667748619665,0.18356994380691433,0.00027385033254373177
4,1.026412934990403,0.9582208126783371,0.19833257807015356,0.20634737084370247,0.00035176535737062683
5,0.9982545027821701,0.9153050899505615,0.21067983831419257,0.21571932057794746,0.0002381082873997813
6,0.9809281944488146,0.9003450870513916,0.2186402588334405,0.21427482708487716,0.00032124066144314866
7,0.9680523850162577,0.89892578125,0.2252173787045174,0.24834484563099662,0.00025188123519497084
8,0.9518459578108344,0.9348747134208679,0.22936021121179118,0.22786534138786507,0.0003801262413447521
9,0.9463698830663788,0.8423971846699715,0.2425568607315136,0.2595601487641798,0.00033450824526239065
10,0.929150258532222,0.8803714722394943,0.2492315372395534,0.2557973492668756,0.0003871515123906706
11,0.9113569167089759,0.8195003628730774,0.2544866405522163,0.2638368923770892,0.00030332871150692424
12,0.9103080387811483,0.7837936118245125,0.2529655395703653,0.28602404833708334,0.0003495268084912536
13,0.8927924521961568,0.8617579638957977,0.25851068660292786,0.25782823786565867,0.00037204753553206994
14,0.9061393648941324,0.814954400062561,0.25281082515162434,0.27555892277688965,0.00029734975742529146
15,0.8954416180249327,0.8040969863533973,0.25609513166863623,0.2599421689226824,0.0002843135021865889
16,0.8762868561359666,0.7549927428364753,0.2640819414203018,0.2940654158503099,0.0003750619248815598
17,0.8799058176715921,0.7959923699498177,0.26365096502701385,0.27563224466415054,0.000380482131468659
18,0.8676985741031836,0.8081367060542106,0.27042947403939754,0.2601316703555871,0.00039358956473214285
19,0.8657121745325764,0.8462987959384918,0.27652348396591003,0.2647968766678913,0.00031538271000364427
20,0.8625233538032319,0.7449207663536072,0.2757087473854435,0.30939845473785066,0.0003730226744715743
21,0.835590825873132,0.7674490064382553,0.2809347898250754,0.29853892202196336,0.0003754534040178572
22,0.8459590473530455,0.7569769993424416,0.27426570592050364,0.303548170428107,0.0003178703819697522
23,0.8494623366349973,0.7651885762810707,0.276894174912772,0.28858600247527383,0.00032221580038265305
24,0.8395631231876634,0.782501894235611,0.28246970072693195,0.2925204566375221,0.0003408751195790817
25,0.8163193469832403,0.8155839219689369,0.28658138946346,0.2731596516195248,0.000259799790451895
26,0.8385198645710205,0.8075768709182739,0.2810129537839409,0.30651345842096556,0.00035750230616800294
27,0.8060948956086769,0.7357008084654808,0.29312431291312124,0.30403461993521286,0.00031174907183855675
28,0.8031374806572932,0.7447111710906029,0.2952218311693702,0.2894663152996,0.0003097489693422011
29,0.8227914586570693,0.76137116253376,0.2869302275476005,0.29942206951031813,0.00035573353225218656
30,0.8115633750183983,0.722216235101223,0.2928283301508325,0.30353227408239214,0.00031808391604409625
