epoch,train_loss,val_loss,train_mIoU,val_mIoU,avg_gaf
1,1.344387377178447,1.1387483477592468,0.1215904760121572,0.1647643512492611,4.320506104227405e-06
2,1.1304649108129998,1.023420863598585,0.16622023046686146,0.1885570633376316,5.356146364795918e-06
3,1.063245395233172,0.9736493073403836,0.1957715495028717,0.20898281430320403,5.139053389212828e-06
4,1.0320547420230712,0.9462581038475036,0.22729194807173986,0.2147235831216756,5.377499772230321e-06
5,1.0104165688990066,0.9245944559574127,0.22871320181278013,0.2270654868977769,4.124766536078717e-06
6,0.988382779200625,0.9157725542783737,0.24145684626718952,0.21311035260575423,5.566121537900873e-06
7,0.9513921198082267,0.888533492386341,0.24562108510680186,0.22095498915307904,5.270732735058308e-06
8,0.9147336811567686,0.9298668473958969,0.24822638378129241,0.21010171878868505,4.0642652150145765e-06
9,0.8956441796899582,0.8604712277650833,0.26031500159530363,0.22484204928100954,6.954093021137025e-06
10,0.9137600093894864,0.8583956398069859,0.2561664639948322,0.21848094999139261,5.975395180393586e-06
11,0.8788762671051559,0.8455759137868881,0.2695576190375517,0.23884774361409195,7.6267253553207e-06
12,0.8648443947667661,0.8611360467970371,0.2759640327871946,0.2437672120143813,7.81890602223032e-06
13,0.8953780985396841,0.8706080406904221,0.26787806250680396,0.22636485313417065,5.8116857233965e-06
14,0.823468680383626,0.8688976880162954,0.28076025600708104,0.23395855046282357,9.007579036078717e-06
15,0.7984813061652717,0.7386007491499186,0.28550797362385805,0.24264385714424835,6.327726403061223e-06
16,0.7969708236293023,0.7442878551781178,0.28506738899304335,0.25387619350858504,8.03599899781341e-06
17,0.7700119627558667,0.6990893732756376,0.2966406813006916,0.26171302908011,5.697800883746357e-06
18,0.7533332981770824,0.7822640880942344,0.2984905004944254,0.2606945013956855,7.292188638848395e-06
19,0.7657965018604853,0.702100521326065,0.3015102669967224,0.27565674055554945,6.9612108236151606e-06
20,0.7235441036661219,0.7473980151116848,0.30513812577031596,0.23954683042578498,6.544819378644316e-06
21,0.736736643203297,0.6948533475399017,0.29970413746911717,0.2859015780920979,6.98612313228863e-06
22,0.6952004126787926,0.6603073004633189,0.31782385406184305,0.2889472622825059,6.7547945517492705e-06
23,0.7129292444135091,0.6830606576055288,0.30943080163505265,0.2888730599746741,6.263666180758016e-06
24,0.6757488554308874,0.7219503100961446,0.32260474880387513,0.2777872377967017,6.334844205539357e-06
25,0.6607499274639239,0.6576529782265425,0.32415053145862804,0.3047122978099398,6.989682033527697e-06
26,0.6998737286429227,0.6674858327955008,0.3223627766751629,0.2858085111959544,6.911386206268221e-06
27,0.6485530634566864,0.6211526967585087,0.34163888598930847,0.30700037405561775,7.573341836734695e-06
28,0.655726220204223,0.6530726693570614,0.32689414105488473,0.3016535502360792,6.776147959183672e-06
29,0.6340413886290159,0.651675870642066,0.33649494759189347,0.2997495037142488,7.374043367346939e-06
30,0.6276841003285802,0.6662116639316082,0.3400316424593101,0.2889861998066733,5.975395180393585e-06
